Year ,Site_id,Region,Site Type,PM10 Daily Measured,PM2.5 Daily Measured,PM10 Hourly Measured,PM2.5 Hourly Measured,NO2,SO2,O3,Total Days
2020,COBR,Coventry Binley Road,Urban Traffic,n/m,n/m,2,n/m,0,n/m,n/m,2
2020,DERR,Derry Rosemount,Urban Background,n/m,n/m,0,1,0,0,5,6
2020,EA8,Ealing Horn Lane,Urban Traffic,n/m,n/m,7,n/m,n/m,n/m,n/m,7
2020,EB,Eastbourne,Urban Background,n/m,n/m,0,3,-,n/m,n/m,3
2020,ED3,Edinburgh St Leonards,Urban Background,n/m,n/m,0,0,0,-,4,4
2020,GHSR,Glasgow High Street,Urban Traffic,n/m,n/m,0,0,0,n/m,n/m,0
2020,GLKP,Glasgow Townhead,Urban Background,n/m,n/m,0,0,0,n/m,1,1
2020,GRAN,Grangemouth,Urban Industrial,n/m,n/m,0,0,0,4,n/m,4
2020,GKA8,Greenock A8 Roadside,Urban Traffic,n/m,n/m,0,0,0,n/m,n/m,0
2020,HUL2,Hull Freetown,Urban Background,n/m,n/m,1,1,0,0,13,14
2020,HULR,Hull Holderness Road,Urban Traffic,n/m,n/m,3,n/m,0,n/m,n/m,3
2020,INV2,Inverness,Urban Traffic,n/m,n/m,0,0,0,n/m,n/m,0
2020,LEAM,Leamington Spa,Urban Background,n/m,n/m,0,0,0,n/m,31,31
2020,LEAR,Leamington Spa Rugby Road,Urban Traffic,n/m,n/m,0,0,0,n/m,n/m,0
2020,LEED,Leeds Centre,Urban Background,n/m,n/m,1,2,0,1,16,19
2020,LED6,Leeds Headingley Kerbside,Urban Traffic,n/m,n/m,2,3,0,n/m,n/m,3
2020,LEIR,Leicester A594 Roadside,Urban Traffic,n/m,n/m,3,n/m,0,n/m,n/m,3
2020,LECU,Leicester University,Urban Background,n/m,n/m,0,1,0,n/m,19,20
2020,LVP,Liverpool Speke,Urban Industrial,n/m,n/m,-,-,-,-,-,-
2020,BEX,London Bexley,Suburban Background,n/m,n/m,-,8,0,n/m,n/m,8
2020,CLL2,London Bloomsbury,Urban Background,n/m,n/m,4,3,0,-,18,22
2020,LON6,London Eltham,Suburban Background,n/m,n/m,-,5,0,n/m,-,5
2020,HRL,London Harlington,Urban Industrial,n/m,n/m,0,1,0,n/m,20,21
2020,HP1,London Honor Oak Park,Urban Background,n/m,n/m,3,6,n/m,n/m,n/m,6
2020,MY1,London Marylebone Road,Urban Traffic,-,-,-,2,0,0,9,10
2020,KC1,London N. Kensington,Urban Background,n/m,n/m,0,3,0,0,39,41
2020,TED2,London Teddington Bushy Park,Urban Background,n/m,n/m,2,2,n/m,n/m,n/m,2
2020,MAN3,Manchester Piccadilly,Urban Background,n/m,n/m,1,2,0,0,5,7
2020,MID,Middlesbrough,Urban Industrial,n/m,n/m,2,2,0,0,5,7
2020,NEWC,Newcastle Centre,Urban Background,n/m,n/m,0,0,0,n/m,3,3
2020,NCA3,Newcastle Cradlewell Roadside,Urban Traffic,n/m,n/m,0,n/m,0,n/m,n/m,0
2020,NPT3,Newport,Urban Background,n/m,n/m,0,0,0,n/m,n/m,0
2020,NO12,Norwich Lakenfields,Urban Background,n/m,n/m,0,0,0,n/m,25,25
2020,NOTT,Nottingham Centre,Urban Background,n/m,n/m,0,2,0,-,17,19
2020,NWBV,Nottingham Western Boulevard,Urban Traffic,n/m,n/m,2,n/m,0,n/m,n/m,2
2020,OX8,Oxford St Ebbes,Urban Background,n/m,n/m,0,0,0,n/m,n/m,0
2020,PLYM,Plymouth Centre,Urban Background,n/m,n/m,0,5,0,n/m,28,28
2020,PT4,Port Talbot Margam,Urban Industrial,26,n/m,6,0,0,0,15,40
2020,PMTH,Portsmouth,Urban Background,n/m,n/m,-,-,-,n/m,-,-
2020,POAR,Portsmouth Anglesea Road,Urban Traffic,n/m,n/m,2,n/m,0,n/m,n/m,2
2020,PRES,Preston,Urban Background,n/m,n/m,0,1,0,n/m,15,16
2020,REA5,Reading London Road,Urban Traffic,n/m,n/m,3,n/m,0,n/m,n/m,3
2020,REA1,Reading New Town,Urban Background,n/m,n/m,2,3,0,n/m,25,28
2020,ECCL,Salford Eccles,Urban Background,n/m,n/m,0,1,0,n/m,n/m,1
2020,SASH,Saltash Callington Road,Urban Traffic,n/m,n/m,0,1,n/m,n/m,n/m,1
2020,SDY,Sandy Roadside,Urban Traffic,n/m,n/m,0,-,0,n/m,n/m,0
2020,SCN2,Scunthorpe Town,Urban Industrial,n/m,n/m,3,n/m,0,0,n/m,3
2020,SHDG,Sheffield Devonshire Green,Urban Background,n/m,n/m,5,2,0,n/m,17,21
2020,SA33,Southampton A33,Urban Traffic,n/m,n/m,2,n/m,0,n/m,n/m,2
2020,SOUT,Southampton Centre,Urban Background,n/m,n/m,1,3,0,0,26,28
2020,SEND,Southend-on-Sea,Urban Background,n/m,n/m,1,5,0,n/m,21,25
2020,SK5,Southwark A2 Old Kent Road,Urban Traffic,n/m,n/m,10,n/m,-,n/m,n/m,10
2020,SHLW,St Helens Linkway,Urban Traffic,n/m,n/m,1,n/m,0,n/m,n/m,1
2020,HOPE,Stanford-le-Hope Roadside,Urban Traffic,n/m,n/m,4,10,0,n/m,n/m,11
